# JMH version: 1.35
# VM version: JDK 17.0.8, OpenJDK 64-Bit Server VM, 17.0.8+7-b1000.22
# VM invoker: C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.2.2\jbr\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.2.2\lib\idea_rt.jar=56617:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.2.2\bin -Dfile.encoding=UTF-8
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 1 s each
# Measurement: 10 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.example.SparseMatrixBenchmark.testApacheSparseMatrixMultiplication
# Parameters: (n = 256)

# Run progress: 0,00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 22,301 ms/op
# Warmup Iteration   2: 21,705 ms/op
# Warmup Iteration   3: 21,236 ms/op
# Warmup Iteration   4: 21,356 ms/op
# Warmup Iteration   5: 20,988 ms/op
# Warmup Iteration   6: 20,770 ms/op
# Warmup Iteration   7: 20,804 ms/op
# Warmup Iteration   8: 20,846 ms/op
# Warmup Iteration   9: 20,813 ms/op
# Warmup Iteration  10: 21,102 ms/op
Iteration   6: 688,514 ms/op
Iteration   7: 689,983 ms/op
Iteration   8: 697,945 ms/op
Iteration   9: 661,814 ms/op
Iteration  10: 728,965 ms/op


Result "org.example.SparseMatrixBenchmark.testCustomSparseMatrixMultiplication":
  743,196 ±(99.9%) 27,030 ms/op [Average]
  (min, avg, max) = (661,814, 743,196, 857,099), stdev = 54,602
  CI (99.9%): [716,166, 770,226] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 17.0.8, OpenJDK 64-Bit Server VM, 17.0.8+7-b1000.22
# VM invoker: C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.2.2\jbr\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.2.2\lib\idea_rt.jar=56617:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.2.2\bin -Dfile.encoding=UTF-8
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 1 s each
# Measurement: 10 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.example.SparseMatrixBenchmark.testCustomSparseMatrixMultiplication
# Parameters: (n = 1000)

# Run progress: 83,33% complete, ETA 00:02:02
# Fork: 1 of 5
# Warmup Iteration   1: 6401,262 ms/op
# Warmup Iteration   2: 6344,080 ms/op
# Warmup Iteration   3: 6177,661 ms/op
# Warmup Iteration   4: 6364,819 ms/op
# Warmup Iteration   5: 6440,053 ms/op
# Warmup Iteration   6: 6760,408 ms/op
# Warmup Iteration   7: 6606,180 ms/op
# Warmup Iteration   8: 6449,267 ms/op
# Warmup Iteration   9: 6488,900 ms/op
# Warmup Iteration  10: 6819,631 ms/op
Iteration   1: 7090,565 ms/op
Iteration   2: 6832,877 ms/op
Iteration   3: 6856,435 ms/op
Iteration   4: 7049,711 ms/op
Iteration   5: 6693,194 ms/op
Iteration   6: 6271,503 ms/op
Iteration   7: 6327,325 ms/op
Iteration   8: 6341,049 ms/op
Iteration   9: 6177,423 ms/op
Iteration  10: 7021,677 ms/op

# Run progress: 86,67% complete, ETA 00:01:54
# Fork: 2 of 5
# Warmup Iteration   1: 6780,074 ms/op
# Warmup Iteration   2: 6425,457 ms/op
# Warmup Iteration   3: 6298,755 ms/op
# Warmup Iteration   4: 6293,816 ms/op
# Warmup Iteration   5: 6523,470 ms/op
# Warmup Iteration   6: 6345,406 ms/op
# Warmup Iteration   7: 6356,786 ms/op
# Warmup Iteration   8: 6332,970 ms/op
# Warmup Iteration   9: 6533,811 ms/op
# Warmup Iteration  10: 6293,731 ms/op
Iteration   1: 6196,976 ms/op
Iteration   2: 6267,247 ms/op
Iteration   3: 6737,282 ms/op
Iteration   4: 6740,714 ms/op
Iteration   5: 7001,585 ms/op
Iteration   6: 6618,410 ms/op
Iteration   7: 6845,542 ms/op
Iteration   8: 6280,655 ms/op
Iteration   9: 6160,319 ms/op
Iteration  10: 6252,582 ms/op

# Run progress: 90,00% complete, ETA 00:01:37
# Fork: 3 of 5
# Warmup Iteration   1: 6457,324 ms/op
# Warmup Iteration   2: 6331,523 ms/op
# Warmup Iteration   3: 6153,328 ms/op
# Warmup Iteration   4: 6273,297 ms/op
# Warmup Iteration   5: 6459,593 ms/op
# Warmup Iteration   6: 6332,784 ms/op
# Warmup Iteration   7: 6222,908 ms/op
# Warmup Iteration   8: 6398,896 ms/op
# Warmup Iteration   9: 6217,901 ms/op
# Warmup Iteration  10: 6379,810 ms/op
Iteration   1: 6245,229 ms/op
Iteration   2: 6278,620 ms/op
Iteration   3: 6239,662 ms/op
Iteration   4: 6589,112 ms/op
Iteration   5: 7198,867 ms/op
Iteration   6: 6404,214 ms/op
Iteration   7: 6212,225 ms/op
Iteration   8: 6281,627 ms/op
Iteration   9: 6305,753 ms/op
Iteration  10: 6236,148 ms/op

# Run progress: 93,33% complete, ETA 00:01:11
# Fork: 4 of 5
# Warmup Iteration   1: 6505,015 ms/op
# Warmup Iteration   2: 6405,003 ms/op
# Warmup Iteration   3: 6213,582 ms/op
# Warmup Iteration   4: 6412,519 ms/op
# Warmup Iteration   5: 6378,190 ms/op
# Warmup Iteration   6: 6358,055 ms/op
# Warmup Iteration   7: 6386,218 ms/op
# Warmup Iteration   8: 6360,174 ms/op
# Warmup Iteration   9: 6372,529 ms/op
# Warmup Iteration  10: 6291,742 ms/op
Iteration   1: 6302,365 ms/op
Iteration   2: 7177,772 ms/op
Iteration   3: 6712,573 ms/op
Iteration   4: 6200,992 ms/op
Iteration   5: 6224,004 ms/op
Iteration   6: 6187,242 ms/op
Iteration   7: 6152,251 ms/op
Iteration   8: 6222,067 ms/op
Iteration   9: 6273,088 ms/op
Iteration  10: 6239,711 ms/op

# Run progress: 96,67% complete, ETA 00:00:38
# Fork: 5 of 5
# Warmup Iteration   1: 6542,437 ms/op
# Warmup Iteration   2: 6458,972 ms/op
# Warmup Iteration   3: 6322,984 ms/op
# Warmup Iteration   4: 6302,244 ms/op
# Warmup Iteration   5: 6574,421 ms/op
# Warmup Iteration   6: 6329,807 ms/op
# Warmup Iteration   7: 6375,354 ms/op
# Warmup Iteration   8: 6314,754 ms/op
# Warmup Iteration   9: 6563,118 ms/op
# Warmup Iteration  10: 6279,626 ms/op
Iteration   1: 6350,144 ms/op
Iteration   2: 6292,572 ms/op
Iteration   3: 6620,152 ms/op
Iteration   4: 7124,267 ms/op
Iteration   5: 6627,796 ms/op
Iteration   6: 6300,911 ms/op
Iteration   7: 6375,538 ms/op
Iteration   8: 6357,942 ms/op
Iteration   9: 6331,112 ms/op
Iteration  10: 6291,757 ms/op


Result "org.example.SparseMatrixBenchmark.testCustomSparseMatrixMultiplication":
  6482,376 ±(99.9%) 157,289 ms/op [Average]
  (min, avg, max) = (6152,251, 6482,376, 7198,867), stdev = 317,732
  CI (99.9%): [6325,086, 6639,665] (assumes normal distribution)


# Run complete. Total time: 00:21:00

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                                                    (n)  Mode  Cnt     Score     Error  Units
SparseMatrixBenchmark.testApacheSparseMatrixMultiplication   256  avgt   50    21,242 ±   0,177  ms/op
SparseMatrixBenchmark.testApacheSparseMatrixMultiplication   512  avgt   50   174,651 ±   3,835  ms/op
SparseMatrixBenchmark.testApacheSparseMatrixMultiplication  1000  avgt   50  1302,228 ±  33,706  ms/op
SparseMatrixBenchmark.testCustomSparseMatrixMultiplication   256  avgt   50    73,441 ±   1,609  ms/op
SparseMatrixBenchmark.testCustomSparseMatrixMultiplication   512  avgt   50   743,196 ±  27,030  ms/op
SparseMatrixBenchmark.testCustomSparseMatrixMultiplication  1000  avgt   50  6482,376 ± 157,289  ms/op

Benchmark result is saved to sparse_benchmark_results.json
